S.No,District,Total Positive Cases as on 13.04.2021,Discharged Cases as on 13.04.2021,Active Cases as on 13.04.2021,Death Cases as on 13.04.2021
1,Ariyalur,4964,4794,121,49
2,Chengalpattu,62280,56788,4643,849
3,Chennai,269614,246604,18673,4337
4,Coimbatore,64319,59099,4520,700
5,Cuddalore,26798,25619,885,294
6,Dharmapuri,7197,6755,387,55
7,Dindigul,12618,11821,594,203
8,Erode,16136,15361,624,151
9,Kallakurichi,11211,10886,217,108
10,Kancheepuram,32350,30526,1356,468
11,Kanniyakumari,18266,17447,553,266
12,Karur,5950,5653,245,52
13,Krishnagiri,9330,8547,664,119
14,Madurai,23451,21483,1496,472
15,Nagapattinam,10423,9257,1016,150
16,Namakkal,12667,12106,450,111
17,Nilgiris,8987,8703,233,51
18,Perambalur,2353,2298,33,22
19,Pudukkottai,12250,11792,298,160
20,Ramanathapuram,6801,6474,189,138
21,Ranipet,17086,16399,497,190
22,Salem,34763,33257,1035,471
23,Sivaganga,7435,6954,353,128
24,Tenkasi,9199,8588,449,162
25,Thanjavur,21499,20100,1117,282
26,Theni,17615,17149,259,207
27,Thoothukudi,17326,16470,712,144
28,Tiruchirappalli,17526,15919,1415,192
29,Tirunelveli,17242,16060,963,219
30,Tirupathur,8093,7755,210,128
31,Tiruppur,20968,19420,1318,230
32,Tiruvallur,48851,46151,1974,726
33,Tiruvannamalai,20361,19540,533,288
34,Tiruvarur,13018,12243,659,116
35,Vellore,22383,21406,619,358
36,Villupuram,16025,15539,373,113
37,Virudhunagar,17292,16776,282,234
38,Airport Surveillance (International),994,975,18,1
39,Airport Surveillance (Domestic),1060,1057,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,947129,884199,49985,12945
