S.No,District,Total Positive Cases as on 11.05.2021,Discharged Cases as on 11.05.2021,Active Cases as on 11.05.2021,Death Cases as on 11.05.2021
1,Ariyalur,6573,5895,624,54
2,Chengalpattu,102126,87997,13038,1091
3,Chennai,404733,361652,37713,5368
4,Coimbatore,100546,85429,14324,793
5,Cuddalore,34638,31562,2708,368
6,Dharmapuri,12087,10350,1662,75
7,Dindigul,18890,16657,1994,239
8,Erode,28384,23786,4421,177
9,Kallakurichi,14537,13077,1342,118
10,Kancheepuram,45718,40369,4696,653
11,Kanyakumari,27326,23394,3544,388
12,Karur,10204,8668,1459,77
13,Krishnagiri,19734,16225,3358,151
14,Madurai,41065,33884,6561,620
15,Nagapattinam,16961,14696,2061,204
16,Namakkal,19564,17362,2063,139
17,Nilgiris,11289,10321,912,56
18,Perambalur,3687,2817,839,31
19,Pudukottai,15640,14236,1235,169
20,Ramanathapuram,10598,9137,1314,147
21,Ranipet,24997,22584,2162,251
22,Salem,47929,43832,3475,622
23,Sivagangai,10123,9047,938,138
24,Tenkasi,14400,12518,1667,215
25,Thanjavur,30943,27139,3450,354
26,Theni,24591,21503,2844,244
27,Thirupathur,12761,10597,1969,195
28,Thiruvallur,73443,64413,8109,921
29,Thiruvannamalai,27991,24618,3044,329
30,Thiruvarur,17994,16034,1821,139
31,Thoothukudi,31376,26299,4906,171
32,Tiruchirappalli,31153,25985,4882,286
33,Tirunelveli,32173,27271,4628,274
34,Tiruppur,32525,28352,3912,261
35,Vellore,32481,28428,3607,446
36,Villupuram,23248,20585,2517,146
37,Virudhunagar,23574,20932,2376,266
38,Airport Surveillance (International),1004,998,5,1
39,Airport Surveillance (Domestic),1075,1073,1,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1438509,1260150,162181,16178
