S.No,District,Total Positive Cases as on 03.05.2021,Discharged Cases as on 03.05.2021,Active Cases as on 03.05.2021,Death Cases as on 03.05.2021
1,Ariyalur,5736,5354,329,53
2,Chengalpattu,84638,74405,9257,976
3,Chennai,352260,314617,32785,4858
4,Coimbatore,82689,73772,8188,729
5,Cuddalore,31225,28935,1961,329
6,Dharmapuri,10009,8669,1273,67
7,Dindigul,16481,14663,1603,215
8,Erode,22817,19231,3419,167
9,Kallakurichi,12898,12060,725,113
10,Kancheepuram,39615,36025,3026,564
11,Kanniyakumari,22598,20449,1832,317
12,Karur,8217,6977,1181,59
13,Krishnagiri,15892,12642,3118,132
14,Madurai,32883,27899,4444,540
15,Nagapattinam,14055,12212,1669,174
16,Namakkal,16903,14763,2015,125
17,Nilgiris,10101,9623,427,51
18,Perambalur,2741,2491,222,28
19,Pudukkottai,14156,13139,854,163
20,Ramanathapuram,8996,7623,1227,146
21,Ranipet,21727,19144,2364,219
22,Salem,43167,38980,3638,549
23,Sivaganga,8928,8058,734,136
24,Tenkasi,12392,11000,1208,184
25,Thanjavur,26609,24109,2191,309
26,Theni,21202,18963,2022,217
27,Thoothukudi,25437,21267,4013,157
28,Tiruchirappalli,25065,21389,3448,228
29,Tirunelveli,26405,21516,4641,248
30,Tirupathur,10478,9266,1060,152
31,Tiruppur,27716,24374,3100,242
32,Tiruvallur,62504,55712,5973,819
33,Tiruvannamalai,24421,22628,1486,307
34,Tiruvarur,15774,14427,1222,125
35,Vellore,28061,25090,2573,398
36,Villupuram,20038,17579,2334,125
37,Virudhunagar,20727,18792,1690,245
38,Airport Surveillance (International),1001,997,3,1
39,Airport Surveillance (Domestic),1074,1070,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1228064,1090338,123258,14468
