S.No,District,Total Positive Cases as on 14.04.2021,Discharged Cases as on 14.04.2021,Active Cases as on 14.04.2021,Death Cases as on 14.04.2021
1,Ariyalur,4988,4807,132,49
2,Chengalpattu,63093,57152,5089,852
3,Chennai,272118,247630,20144,4344
4,Coimbatore,64867,59620,4544,703
5,Cuddalore,26977,25660,1021,296
6,Dharmapuri,7289,6764,470,55
7,Dindigul,12726,11833,690,203
8,Erode,16293,15435,707,151
9,Kallakurichi,11244,10896,240,108
10,Kancheepuram,32485,30579,1437,469
11,Kanniyakumari,18354,17501,586,267
12,Karur,6002,5665,285,52
13,Krishnagiri,9486,8594,773,119
14,Madurai,23645,21582,1591,472
15,Nagapattinam,10581,9327,1103,151
16,Namakkal,12740,12131,498,111
17,Nilgiris,9026,8727,248,51
18,Perambalur,2356,2300,34,22
19,Pudukkottai,12300,11817,323,160
20,Ramanathapuram,6842,6490,214,138
21,Ranipet,17177,16399,588,190
22,Salem,34941,33352,1116,473
23,Sivaganga,7474,6966,380,128
24,Tenkasi,9273,8596,515,162
25,Thanjavur,21659,20228,1149,282
26,Theni,17661,17179,275,207
27,Thoothukudi,17570,16490,936,144
28,Tiruchirappalli,17738,16044,1502,192
29,Tirunelveli,17439,16103,1117,219
30,Tirupathur,8176,7765,283,128
31,Tiruppur,21197,19509,1457,231
32,Tiruvallur,49223,46322,2173,728
33,Tiruvannamalai,20440,19577,575,288
34,Tiruvarur,13123,12308,698,117
35,Vellore,22494,21468,667,359
36,Villupuram,16125,15581,431,113
37,Virudhunagar,17341,16806,301,234
38,Airport Surveillance (International),996,975,20,1
39,Airport Surveillance (Domestic),1061,1057,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,954948,887663,54315,12970
