S.No,District,Total Positive Cases as on 01.05.2021,Discharged Cases as on 01.05.2021,Active Cases as on 01.05.2021,Death Cases as on 01.05.2021
1,Ariyalur,5635,5238,344,53
2,Chengalpattu,81477,72353,8170,954
3,Chennai,339797,303531,31475,4791
4,Coimbatore,79669,71658,7288,723
5,Cuddalore,30474,28439,1706,329
6,Dharmapuri,9668,8369,1234,65
7,Dindigul,16017,14225,1578,214
8,Erode,21617,18237,3214,166
9,Kallakurichi,12694,11679,904,111
10,Kancheepuram,38359,34995,2823,541
11,Kanniyakumari,21891,19890,1695,306
12,Karur,7741,6686,997,58
13,Krishnagiri,14944,11666,3149,129
14,Madurai,31519,26757,4245,517
15,Nagapattinam,13655,11794,1693,168
16,Namakkal,16241,14284,1835,122
17,Nilgiris,9910,9441,418,51
18,Perambalur,2672,2443,205,24
19,Pudukkottai,13882,12858,861,163
20,Ramanathapuram,8622,7301,1175,146
21,Ranipet,20921,18638,2071,212
22,Salem,41966,38010,3422,534
23,Sivaganga,8677,7817,727,133
24,Tenkasi,12074,10468,1428,178
25,Thanjavur,26022,23394,2322,306
26,Theni,20560,18586,1759,215
27,Thoothukudi,24045,20090,3800,155
28,Tiruchirappalli,23897,20620,3061,216
29,Tirunelveli,25416,20209,4967,240
30,Tirupathur,10204,9018,1038,148
31,Tiruppur,26850,23443,3168,239
32,Tiruvallur,60371,54179,5385,807
33,Tiruvannamalai,24024,21907,1813,304
34,Tiruvarur,15408,14200,1085,123
35,Vellore,27294,24420,2488,386
36,Villupuram,19290,17137,2030,123
37,Virudhunagar,20340,18274,1825,241
38,Airport Surveillance (International),1000,997,2,1
39,Airport Surveillance (Domestic),1073,1067,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1186344,1054746,117405,14193
