S.No,District,Total Positive Cases as on 10.05.2021,Discharged Cases as on 10.05.2021,Active Cases as on 10.05.2021,Death Cases as on 10.05.2021
1,Ariyalur,6464,5834,576,54
2,Chengalpattu,99681,85631,12978,1072
3,Chennai,397498,357069,35153,5276
4,Coimbatore,97886,83706,13406,774
5,Cuddalore,34199,31294,2543,362
6,Dharmapuri,11894,10210,1610,74
7,Dindigul,18589,16465,1888,236
8,Erode,27459,23239,4046,174
9,Kallakurichi,14110,12955,1037,118
10,Kancheepuram,45034,39913,4477,644
11,Kanniyakumari,26327,22913,3036,378
12,Karur,10038,8426,1541,71
13,Krishnagiri,19250,16115,2984,151
14,Madurai,40040,33256,6177,607
15,Nagapattinam,16502,14323,1987,192
16,Namakkal,19186,17149,1900,137
17,Nilgiris,11118,10181,884,53
18,Perambalur,3518,2779,708,31
19,Pudukkottai,15455,14082,1204,169
20,Ramanathapuram,10373,8976,1250,147
21,Ranipet,24582,22307,2027,248
22,Salem,47448,43375,3469,604
23,Sivaganga,9908,8916,855,137
24,Tenkasi,14161,12366,1586,209
25,Thanjavur,30490,26805,3340,345
26,Theni,24171,21193,2742,236
27,Thoothukudi,30742,25666,4908,168
28,Tiruchirappalli,30276,25330,4667,279
29,Tirunelveli,31407,26931,4206,270
30,Tirupathur,12111,10467,1455,189
31,Tiruppur,31931,28022,3654,255
32,Tiruvallur,72190,63104,8182,904
33,Tiruvannamalai,27237,24438,2471,328
34,Tiruvarur,17719,15792,1791,136
35,Vellore,31809,28244,3123,442
36,Villupuram,22809,20162,2503,144
37,Virudhunagar,23118,20835,2019,264
38,Airport Surveillance (International),1004,998,5,1
39,Airport Surveillance (Domestic),1075,1073,1,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1409237,1240968,152389,15880
