S.No,District,Total Positive Cases as on 06.05.2021,Discharged Cases as on 06.05.2021,Active Cases as on 06.05.2021,Death Cases as on 06.05.2021
1,Ariyalur,5983,5501,429,53
2,Chengalpattu,90264,78077,11174,1013
3,Chennai,370596,332259,33316,5021
4,Coimbatore,88342,77757,9845,740
5,Cuddalore,32198,29764,2091,343
6,Dharmapuri,10698,9250,1378,70
7,Dindigul,17217,15319,1677,221
8,Erode,24599,21010,3421,168
9,Kallakurichi,13343,12488,740,115
10,Kancheepuram,41668,37680,3399,589
11,Kanniyakumari,24111,21434,2335,342
12,Karur,8972,7339,1567,66
13,Krishnagiri,16925,14352,2435,138
14,Madurai,35638,29947,5133,558
15,Nagapattinam,15182,13263,1739,180
16,Namakkal,17938,15617,2191,130
17,Nilgiris,10472,9781,640,51
18,Perambalur,2956,2605,322,29
19,Pudukkottai,14583,13454,963,166
20,Ramanathapuram,9535,8102,1287,146
21,Ranipet,22953,20317,2401,235
22,Salem,45056,40602,3879,575
23,Sivaganga,9334,8359,839,136
24,Tenkasi,13026,11655,1180,191
25,Thanjavur,27556,25117,2116,323
26,Theni,22231,19716,2290,225
27,Thoothukudi,27345,22791,4393,161
28,Tiruchirappalli,26928,22887,3801,240
29,Tirunelveli,28498,24450,3792,256
30,Tirupathur,10889,9796,935,158
31,Tiruppur,29311,26138,2926,247
32,Tiruvallur,66644,58838,6958,848
33,Tiruvannamalai,25166,23560,1293,313
34,Tiruvarur,16413,14899,1386,128
35,Vellore,29738,26409,2912,417
36,Villupuram,21166,18443,2591,132
37,Virudhunagar,21519,19585,1686,248
38,Airport Surveillance (International),1004,997,6,1
39,Airport Surveillance (Domestic),1075,1072,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1297500,1151058,131468,14974
