S.No,District,Total Positive Cases as on 10.04.2021,Discharged Cases as on 10.04.2021,Active Cases as on 10.04.2021,Death Cases as on 10.04.2021
1,Ariyalur,4919,4780,90,49
2,Chengalpattu,60122,55863,3416,843
3,Chennai,263129,244435,14382,4312
4,Coimbatore,62575,58199,3677,699
5,Cuddalore,26462,25504,666,292
6,Dharmapuri,7016,6729,232,55
7,Dindigul,12367,11755,409,203
8,Erode,15831,15236,445,150
9,Kallakurichi,11096,10852,136,108
10,Kancheepuram,31720,30360,893,467
11,Kanniyakumari,17988,17289,434,265
12,Karur,5826,5626,148,52
13,Krishnagiri,9022,8424,479,119
14,Madurai,22813,21294,1049,470
15,Nagapattinam,10011,9066,797,148
16,Namakkal,12447,12034,302,111
17,Nilgiris,8901,8647,203,51
18,Perambalur,2341,2290,30,21
19,Pudukkottai,12121,11753,208,160
20,Ramanathapuram,6720,6420,162,138
21,Ranipet,16868,16285,393,190
22,Salem,34328,33176,682,470
23,Sivaganga,7278,6886,265,127
24,Tenkasi,8980,8551,268,161
25,Thanjavur,20981,19790,910,281
26,Theni,17503,17116,180,207
27,Thoothukudi,16949,16421,384,144
28,Tiruchirappalli,16970,15595,1185,190
29,Tirunelveli,16784,15873,694,217
30,Tirupathur,7995,7720,147,128
31,Tiruppur,20457,19227,1001,229
32,Tiruvallur,47894,45743,1430,721
33,Tiruvannamalai,20117,19464,365,288
34,Tiruvarur,12717,12020,581,116
35,Vellore,22107,21252,499,356
36,Villupuram,15889,15448,328,113
37,Virudhunagar,17100,16689,178,233
38,Airport Surveillance (International),985,966,18,1
39,Airport Surveillance (Domestic),1059,1051,7,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,926816,876257,37673,12886
