S.No,District,Total Positive Cases as on 17.04.2021,Discharged Cases as on 17.04.2021,Active Cases as on 17.04.2021,Death Cases as on 17.04.2021
1,Ariyalur,5070,4840,181,49
2,Chengalpattu,65424,58302,6263,859
3,Chennai,280184,252173,23625,4386
4,Coimbatore,66645,61500,4438,707
5,Cuddalore,27444,25964,1180,300
6,Dharmapuri,7554,6846,651,57
7,Dindigul,13052,12025,824,203
8,Erode,16715,15608,955,152
9,Kallakurichi,11369,10929,332,108
10,Kancheepuram,33238,31004,1758,476
11,Kanniyakumari,18767,17643,854,270
12,Karur,6166,5713,401,52
13,Krishnagiri,10014,8725,1169,120
14,Madurai,24286,21942,1868,476
15,Nagapattinam,10925,9604,1165,156
16,Namakkal,13067,12288,668,111
17,Nilgiris,9160,8801,308,51
18,Perambalur,2395,2314,59,22
19,Pudukkottai,12471,11870,441,160
20,Ramanathapuram,6981,6533,310,138
21,Ranipet,17642,16529,923,190
22,Salem,35639,33708,1452,479
23,Sivaganga,7633,7069,435,129
24,Tenkasi,9509,8779,567,163
25,Thanjavur,22092,20794,1016,282
26,Theni,17857,17236,413,208
27,Thoothukudi,18282,16555,1583,144
28,Tiruchirappalli,18586,16378,2013,195
29,Tirunelveli,18068,16440,1407,221
30,Tirupathur,8396,7831,437,128
31,Tiruppur,21922,19825,1866,231
32,Tiruvallur,50512,47206,2575,731
33,Tiruvannamalai,20783,19702,793,288
34,Tiruvarur,13479,12515,847,117
35,Vellore,22961,21791,809,361
36,Villupuram,16335,15700,521,114
37,Virudhunagar,17615,16880,500,235
38,Airport Surveillance (International),997,975,21,1
39,Airport Surveillance (Domestic),1065,1057,7,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,980728,902022,65635,13071
