S. No,District,Total Positive Cases as on 10.03.2021,Discharged Cases as on 10.03.2021,Active Cases as on 10.03.2021,Death Cases as on 10.03.2021
1,Ariyalur,4750,4694,7,49
2,Chengalpattu,53332,52195,351,786
3,Chennai,237716,231630,1915,4171
4,Coimbatore,56246,55202,359,685
5,Cuddalore,25248,24898,62,288
6,Dharmapuri,6665,6602,8,55
7,Dindigul,11552,11300,52,200
8,Erode,14905,14671,84,150
9,Kallakurichi,10914,10801,5,108
10,Kancheepuram,29656,29113,94,449
11,Kanniyakumari,17170,16851,58,261
12,Karur,5519,5460,8,51
13,Krishnagiri,8199,8060,21,118
14,Madurai,21318,20795,62,461
15,Nagapattinam,8663,8487,41,135
16,Namakkal,11859,11712,36,111
17,Nilgiris,8406,8318,40,48
18,Perambalur,2288,2263,4,21
19,Pudukkottai,11690,11507,26,157
20,Ramanathapuram,6490,6343,10,137
21,Ranipet,16262,16059,14,189
22,Salem,32848,32306,75,467
23,Sivaganga,6813,6665,22,126
24,Tenkasi,8579,8399,20,160
25,Thanjavur,18268,17890,122,256
26,Theni,17185,16958,20,207
27,Thoothukudi,16376,16221,12,143
28,Tiruchirappalli,15080,14814,83,183
29,Tirunelveli,15792,15536,42,214
30,Tirupathur,7650,7514,9,127
31,Tiruppur,18537,18189,124,224
32,Tiruvallur,44472,43567,205,700
33,Tiruvannamalai,19535,19227,24,284
34,Tiruvarur,11432,11256,65,111
35,Vellore,21080,20655,74,351
36,Villupuram,15297,15160,24,113
37,Virudhunagar,16697,16444,21,232
38,Airport Surveillance (International),956,949,6,1
39,Airport Surveillance (Domestic),1044,1041,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,856917,840180,4207,12530
