S.No,District,Total Positive Cases as on 18.04.2021,Discharged Cases as on 18.04.2021,Active Cases as on 18.04.2021,Death Cases as on 18.04.2021
1,Ariyalur,5103,4860,194,49
2,Chengalpattu,66440,58696,6878,866
3,Chennai,283436,254025,25011,4400
4,Coimbatore,67394,62108,4579,707
5,Cuddalore,27624,26052,1270,302
6,Dharmapuri,7663,6920,686,57
7,Dindigul,13247,12113,930,204
8,Erode,16922,15679,1091,152
9,Kallakurichi,11435,10976,351,108
10,Kancheepuram,33544,31179,1885,480
11,Kanniyakumari,18923,17820,831,272
12,Karur,6251,5736,463,52
13,Krishnagiri,10247,8787,1340,120
14,Madurai,24560,22072,2010,478
15,Nagapattinam,11153,9725,1270,158
16,Namakkal,13217,12348,758,111
17,Nilgiris,9203,8830,322,51
18,Perambalur,2398,2326,50,22
19,Pudukkottai,12532,11894,478,160
20,Ramanathapuram,7038,6564,336,138
21,Ranipet,17752,16623,939,190
22,Salem,35919,33894,1546,479
23,Sivaganga,7680,7103,448,129
24,Tenkasi,9634,8793,677,164
25,Thanjavur,22261,21022,956,283
26,Theni,17953,17284,461,208
27,Thoothukudi,18520,16645,1730,145
28,Tiruchirappalli,18884,16605,2083,196
29,Tirunelveli,18381,16531,1628,222
30,Tirupathur,8457,7860,469,128
31,Tiruppur,22217,19956,2030,231
32,Tiruvallur,51024,47522,2768,734
33,Tiruvannamalai,20944,19751,905,288
34,Tiruvarur,13601,12607,877,117
35,Vellore,23190,21870,959,361
36,Villupuram,16473,15768,591,114
37,Virudhunagar,17740,16939,566,235
38,Airport Surveillance (International),997,979,17,1
39,Airport Surveillance (Domestic),1066,1057,8,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,991451,907947,70391,13113
