S.No,District,Total Positive Cases as on 04.05.2021,Discharged Cases as on 04.05.2021,Active Cases as on 04.05.2021,Death Cases as on 04.05.2021
1,Ariyalur,5772,5378,341,53
2,Chengalpattu,86265,75621,9663,981
3,Chennai,358573,320457,33222,4894
4,Coimbatore,84206,74877,8596,733
5,Cuddalore,31525,29188,2001,336
6,Dharmapuri,10268,8850,1351,67
7,Dindigul,16648,14843,1588,217
8,Erode,23388,19802,3419,167
9,Kallakurichi,13037,12197,726,114
10,Kancheepuram,40163,36566,3025,572
11,Kanniyakumari,23125,20771,2034,320
12,Karur,8485,7073,1350,62
13,Krishnagiri,16200,13192,2875,133
14,Madurai,33669,28539,4585,545
15,Nagapattinam,14444,12565,1703,176
16,Namakkal,17232,15002,2105,125
17,Nilgiris,10217,9666,500,51
18,Perambalur,2776,2524,223,29
19,Pudukkottai,14232,13235,834,163
20,Ramanathapuram,9089,7800,1143,146
21,Ranipet,22461,19518,2722,221
22,Salem,43800,39435,3801,564
23,Sivaganga,9058,8166,756,136
24,Tenkasi,12518,11227,1106,185
25,Thanjavur,27059,24424,2323,312
26,Theni,21385,19176,1990,219
27,Thoothukudi,25796,21648,3989,159
28,Tiruchirappalli,25495,21853,3410,232
29,Tirunelveli,27129,22503,4378,248
30,Tirupathur,10593,9442,995,156
31,Tiruppur,28213,24924,3045,244
32,Tiruvallur,63618,56639,6148,831
33,Tiruvannamalai,24650,22929,1411,310
34,Tiruvarur,15904,14560,1218,126
35,Vellore,28534,25492,2633,409
36,Villupuram,20239,17829,2283,127
37,Virudhunagar,21023,19044,1732,247
38,Airport Surveillance (International),1001,997,3,1
39,Airport Surveillance (Domestic),1074,1070,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1249292,1109450,125230,14612
