S.No,District,Total Positive Cases as on 23.04.2021,Discharged Cases as on 23.04.2021,Active Cases as on 23.04.2021,Death Cases as on 23.04.2021
1,Ariyalur,5280,4956,273,51
2,Chengalpattu,71474,62393,8186,895
3,Chennai,301541,265859,31170,4512
4,Coimbatore,71161,64621,5830,710
5,Cuddalore,28516,26736,1466,314
6,Dharmapuri,8274,7320,892,62
7,Dindigul,14167,12648,1312,207
8,Erode,18197,16126,1918,153
9,Kallakurichi,11764,11122,534,108
10,Kancheepuram,35059,32263,2300,496
11,Kanniyakumari,19879,18142,1451,286
12,Karur,6677,5949,676,52
13,Krishnagiri,11669,9384,2162,123
14,Madurai,26728,23180,3062,486
15,Nagapattinam,11867,10405,1299,163
16,Namakkal,14158,12733,1313,112
17,Nilgiris,9439,8988,400,51
18,Perambalur,2449,2346,80,23
19,Pudukkottai,12957,12143,654,160
20,Ramanathapuram,7370,6720,510,140
21,Ranipet,18642,17067,1385,190
22,Salem,37980,34607,2886,487
23,Sivaganga,7945,7345,471,129
24,Tenkasi,10478,9051,1258,169
25,Thanjavur,23455,21643,1522,290
26,Theni,18680,17476,994,210
27,Thoothukudi,20036,17426,2464,146
28,Tiruchirappalli,20541,17549,2792,200
29,Tirunelveli,20266,17194,2845,227
30,Tirupathur,9039,8056,852,131
31,Tiruppur,23478,21074,2170,234
32,Tiruvallur,54012,48999,4266,747
33,Tiruvannamalai,21757,20288,1177,292
34,Tiruvarur,14145,13135,893,117
35,Vellore,24451,22362,1721,368
36,Villupuram,17069,16056,898,115
37,Virudhunagar,18391,17204,950,237
38,Airport Surveillance (International),1000,991,8,1
39,Airport Surveillance (Domestic),1068,1059,8,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1051487,943044,95048,13395
