S.No,District,Total Positive Cases as on 03.04.2021,Discharged Cases as on 03.04.2021,Active Cases as on 03.04.2021,Death Cases as on 03.04.2021
1,Ariyalur,4838,4748,41,49
2,Chengalpattu,57176,54290,2064,822
3,Chennai,252431,240454,7713,4264
4,Coimbatore,59821,57120,2007,694
5,Cuddalore,25880,25237,351,292
6,Dharmapuri,6806,6686,65,55
7,Dindigul,11973,11584,187,202
8,Erode,15474,15088,236,150
9,Kallakurichi,10982,10838,36,108
10,Kancheepuram,30959,29938,559,462
11,Kanniyakumari,17644,17139,241,264
12,Karur,5688,5562,74,52
13,Krishnagiri,8593,8245,229,119
14,Madurai,22030,21134,429,467
15,Nagapattinam,9334,8769,422,143
16,Namakkal,12176,11896,169,111
17,Nilgiris,8727,8528,149,50
18,Perambalur,2311,2281,9,21
19,Pudukkottai,11925,11647,118,160
20,Ramanathapuram,6584,6393,53,138
21,Ranipet,16541,16172,179,190
22,Salem,33652,32843,341,468
23,Sivaganga,7063,6792,144,127
24,Tenkasi,8766,8487,118,161
25,Thanjavur,20114,19128,713,273
26,Theni,17334,17058,69,207
27,Thoothukudi,16614,16322,149,143
28,Tiruchirappalli,15953,15185,582,186
29,Tirunelveli,16274,15733,325,216
30,Tirupathur,7869,7627,114,128
31,Tiruppur,19544,18851,467,226
32,Tiruvallur,46617,45058,845,714
33,Tiruvannamalai,19763,19369,108,286
34,Tiruvarur,12209,11649,445,115
35,Vellore,21601,21023,224,354
36,Villupuram,15587,15322,152,113
37,Virudhunagar,16912,16622,58,232
38,Airport Surveillance (International),975,966,8,1
39,Airport Surveillance (Domestic),1058,1046,11,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,896226,863258,20204,12764
