S.No,District,Total Positive Cases as on 26.04.2021,Discharged Cases as on 26.04.2021,Active Cases as on 26.04.2021,Death Cases as on 26.04.2021
1,Ariyalur,5399,5046,302,51
2,Chengalpattu,75032,65269,8848,915
3,Chennai,314074,278330,31142,4602
4,Coimbatore,74288,66883,6689,716
5,Cuddalore,29173,27284,1573,316
6,Dharmapuri,8721,7612,1045,64
7,Dindigul,14849,13056,1585,208
8,Erode,19404,16765,2483,156
9,Kallakurichi,12141,11334,698,109
10,Kancheepuram,36491,33190,2793,508
11,Kanniyakumari,20674,18696,1687,291
12,Karur,7027,6199,774,54
13,Krishnagiri,12745,10046,2574,125
14,Madurai,28460,24031,3929,500
15,Nagapattinam,12354,10981,1206,167
16,Namakkal,14852,13123,1615,114
17,Nilgiris,9661,9122,488,51
18,Perambalur,2508,2384,100,24
19,Pudukkottai,13291,12376,755,160
20,Ramanathapuram,7748,6920,687,141
21,Ranipet,19410,17543,1673,194
22,Salem,39414,35475,3444,495
23,Sivaganga,8191,7541,520,130
24,Tenkasi,11156,9482,1500,174
25,Thanjavur,24368,22004,2068,296
26,Theni,19160,17757,1192,211
27,Thoothukudi,21390,18327,2912,151
28,Tiruchirappalli,21563,18392,2962,209
29,Tirunelveli,21738,17854,3654,230
30,Tirupathur,9398,8337,925,136
31,Tiruppur,24562,21813,2515,234
32,Tiruvallur,56480,50453,5262,765
33,Tiruvannamalai,22856,20704,1855,297
34,Tiruvarur,14534,13492,922,120
35,Vellore,25397,22756,2264,377
36,Villupuram,17680,16353,1208,119
37,Virudhunagar,18986,17454,1293,239
38,Airport Surveillance (International),1000,997,2,1
39,Airport Surveillance (Domestic),1069,1067,1,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1097672,976876,107145,13651
