S.No,District,Total Positive Cases as on 28.03.2021,Discharged Cases as on 28.03.2021,Active Cases as on 28.03.2021,Death Cases as on 28.03.2021
1,Ariyalur,4809,4721,39,49
2,Chengalpattu,55579,53435,1335,809
3,Chennai,246339,236911,5198,4230
4,Coimbatore,58258,56397,1172,689
5,Cuddalore,25561,25063,209,289
6,Dharmapuri,6760,6650,55,55
7,Dindigul,11809,11480,129,200
8,Erode,15252,14930,172,150
9,Kallakurichi,10938,10813,17,108
10,Kancheepuram,30358,29483,420,455
11,Kanniyakumari,17434,17022,149,263
12,Karur,5621,5523,47,51
13,Krishnagiri,8396,8161,116,119
14,Madurai,21691,20993,234,464
15,Nagapattinam,9005,8649,219,137
16,Namakkal,12054,11815,128,111
17,Nilgiris,8621,8445,126,50
18,Perambalur,2303,2275,7,21
19,Pudukkottai,11820,11599,61,160
20,Ramanathapuram,6539,6367,35,137
21,Ranipet,16419,16119,110,190
22,Salem,33348,32596,284,468
23,Sivaganga,6950,6736,87,127
24,Tenkasi,8683,8443,79,161
25,Thanjavur,19388,18580,541,267
26,Theni,17271,17011,53,207
27,Thoothukudi,16513,16286,84,143
28,Tiruchirappalli,15451,15056,211,184
29,Tirunelveli,16013,15660,138,215
30,Tirupathur,7778,7556,94,128
31,Tiruppur,19167,18629,313,225
32,Tiruvallur,45718,44474,536,708
33,Tiruvannamalai,19647,19299,63,285
34,Tiruvarur,11855,11457,284,114
35,Vellore,21399,20883,162,354
36,Villupuram,15444,15238,93,113
37,Virudhunagar,16832,16545,55,232
38,Airport Surveillance (International),971,961,9,1
39,Airport Surveillance (Domestic),1051,1044,6,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,879473,853733,13070,12670
