S.No,District,Total Positive Cases as on 02.05.2021,Discharged Cases as on 02.05.2021,Active Cases as on 02.05.2021,Death Cases as on 02.05.2021
1,Ariyalur,5696,5295,348,53
2,Chengalpattu,83039,73203,8866,970
3,Chennai,345966,309233,31913,4820
4,Coimbatore,81118,72709,7683,726
5,Cuddalore,30844,28695,1820,329
6,Dharmapuri,9838,8518,1253,67
7,Dindigul,16281,14469,1598,214
8,Erode,22165,18675,3323,167
9,Kallakurichi,12770,11788,870,112
10,Kancheepuram,38822,35543,2725,554
11,Kanniyakumari,22210,20144,1754,312
12,Karur,7983,6859,1065,59
13,Krishnagiri,15448,12106,3211,131
14,Madurai,32398,27392,4482,524
15,Nagapattinam,13819,11999,1650,170
16,Namakkal,16549,14492,1933,124
17,Nilgiris,9996,9529,416,51
18,Perambalur,2702,2462,213,27
19,Pudukkottai,14047,12987,897,163
20,Ramanathapuram,8799,7422,1231,146
21,Ranipet,21335,18889,2229,217
22,Salem,42555,38538,3471,546
23,Sivaganga,8801,7903,764,134
24,Tenkasi,12261,10729,1348,184
25,Thanjavur,26285,23757,2221,307
26,Theni,20951,18794,1940,217
27,Thoothukudi,24728,20545,4027,156
28,Tiruchirappalli,24405,20988,3193,224
29,Tirunelveli,26002,20803,4956,243
30,Tirupathur,10371,9123,1097,151
31,Tiruppur,27230,23855,3134,241
32,Tiruvallur,61385,55036,5534,815
33,Tiruvannamalai,24210,22289,1615,306
34,Tiruvarur,15576,14347,1106,123
35,Vellore,27802,24783,2624,395
36,Villupuram,19642,17370,2149,123
37,Virudhunagar,20581,18560,1778,243
38,Airport Surveillance (International),1001,997,3,1
39,Airport Surveillance (Domestic),1073,1068,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1207112,1072322,120444,14346
