S.No,District,Total Positive Cases as on 07.04.2021,Discharged Cases as on 07.04.2021,Active Cases as on 07.04.2021,Death Cases as on 07.04.2021
1,Ariyalur,4872,4766,57,49
2,Chengalpattu,58642,55128,2679,835
3,Chennai,257851,242880,10685,4286
4,Coimbatore,61162,57699,2767,696
5,Cuddalore,26147,25378,477,292
6,Dharmapuri,6899,6707,137,55
7,Dindigul,12217,11677,338,202
8,Erode,15634,15189,295,150
9,Kallakurichi,11050,10843,99,108
10,Kancheepuram,31287,30221,602,464
11,Kanniyakumari,17776,17221,290,265
12,Karur,5752,5595,105,52
13,Krishnagiri,8769,8334,316,119
14,Madurai,22364,21188,707,469
15,Nagapattinam,9624,8931,548,145
16,Namakkal,12317,11978,228,111
17,Nilgiris,8816,8598,168,50
18,Perambalur,2326,2286,19,21
19,Pudukkottai,12031,11696,175,160
20,Ramanathapuram,6653,6405,110,138
21,Ranipet,16658,16206,262,190
22,Salem,33959,33071,419,469
23,Sivaganga,7136,6855,154,127
24,Tenkasi,8868,8509,198,161
25,Thanjavur,20597,19498,823,276
26,Theni,17408,17091,110,207
27,Thoothukudi,16721,16381,197,143
28,Tiruchirappalli,16430,15388,855,187
29,Tirunelveli,16477,15816,444,217
30,Tirupathur,7939,7679,132,128
31,Tiruppur,20001,19038,735,228
32,Tiruvallur,47303,45418,1169,716
33,Tiruvannamalai,19922,19417,217,288
34,Tiruvarur,12472,11861,496,115
35,Vellore,21838,21125,358,355
36,Villupuram,15721,15370,238,113
37,Virudhunagar,17004,16663,109,232
38,Airport Surveillance (International),981,966,14,1
39,Airport Surveillance (Domestic),1058,1046,11,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,911110,870546,27743,12821
