S.No,District,Total Positive Cases as on 09.04.2021,Discharged Cases as on 09.04.2021,Active Cases as on 09.04.2021,Death Cases as on 09.04.2021
1,Ariyalur,4895,4777,69,49
2,Chengalpattu,59513,55591,3083,839
3,Chennai,261072,243909,12861,4302
4,Coimbatore,62070,57982,3389,699
5,Cuddalore,26340,25465,583,292
6,Dharmapuri,6977,6722,200,55
7,Dindigul,12317,11736,379,202
8,Erode,15750,15227,373,150
9,Kallakurichi,11081,10848,125,108
10,Kancheepuram,31555,30296,794,465
11,Kanniyakumari,17891,17264,362,265
12,Karur,5791,5619,120,52
13,Krishnagiri,8926,8390,417,119
14,Madurai,22617,21252,895,470
15,Nagapattinam,9867,9018,703,146
16,Namakkal,12388,12011,266,111
17,Nilgiris,8869,8628,191,50
18,Perambalur,2335,2290,24,21
19,Pudukkottai,12096,11731,205,160
20,Ramanathapuram,6693,6415,140,138
21,Ranipet,16779,16285,304,190
22,Salem,34189,33158,562,469
23,Sivaganga,7239,6873,239,127
24,Tenkasi,8930,8544,225,161
25,Thanjavur,20867,19712,874,281
26,Theni,17479,17108,164,207
27,Thoothukudi,16847,16407,296,144
28,Tiruchirappalli,16781,15508,1083,190
29,Tirunelveli,16669,15840,612,217
30,Tirupathur,7970,7708,134,128
31,Tiruppur,20303,19163,912,228
32,Tiruvallur,47704,45651,1332,721
33,Tiruvannamalai,20041,19443,310,288
34,Tiruvarur,12629,11954,559,116
35,Vellore,22021,21233,433,355
36,Villupuram,15820,15422,285,113
37,Virudhunagar,17044,16680,131,233
38,Airport Surveillance (International),985,966,18,1
39,Airport Surveillance (Domestic),1059,1051,7,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,920827,874305,33659,12863
