S.No,District,Total Positive Cases as on 20.04.2021,Discharged Cases as on 20.04.2021,Active Cases as on 20.04.2021,Death Cases as on 20.04.2021
1,Ariyalur,5145,4903,193,49
2,Chengalpattu,68526,60077,7574,875
3,Chennai,290364,257927,28005,4432
4,Coimbatore,68835,63285,4842,708
5,Cuddalore,27985,26306,1371,308
6,Dharmapuri,7988,7104,826,58
7,Dindigul,13546,12321,1020,205
8,Erode,17376,15860,1364,152
9,Kallakurichi,11580,11021,451,108
10,Kancheepuram,34075,31407,2182,486
11,Kanniyakumari,19282,17906,1100,276
12,Karur,6395,5815,528,52
13,Krishnagiri,10719,9050,1549,120
14,Madurai,25262,22412,2369,481
15,Nagapattinam,11393,10015,1218,160
16,Namakkal,13536,12502,922,112
17,Nilgiris,9274,8899,324,51
18,Perambalur,2413,2340,51,22
19,Pudukkottai,12708,12004,544,160
20,Ramanathapuram,7127,6612,377,138
21,Ranipet,18039,16798,1051,190
22,Salem,36667,34166,2019,482
23,Sivaganga,7761,7201,431,129
24,Tenkasi,9903,8835,903,165
25,Thanjavur,22668,21392,989,287
26,Theni,18196,17371,617,208
27,Thoothukudi,18994,16842,2007,145
28,Tiruchirappalli,19488,16954,2337,197
29,Tirunelveli,18918,16739,1954,225
30,Tirupathur,8650,7932,589,129
31,Tiruppur,22729,20262,2235,232
32,Tiruvallur,52080,47921,3419,740
33,Tiruvannamalai,21224,19962,971,291
34,Tiruvarur,13816,12799,900,117
35,Vellore,23570,22045,1163,362
36,Villupuram,16642,15887,641,114
37,Virudhunagar,18009,17021,751,237
38,Airport Surveillance (International),1000,990,9,1
39,Airport Surveillance (Domestic),1067,1058,8,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1013378,920369,79804,13205
