S.No,District,Total Positive Cases as on 29.04.2021,Discharged Cases as on 29.04.2021,Active Cases as on 29.04.2021,Death Cases as on 29.04.2021
1,Ariyalur,5529,5143,334,52
2,Chengalpattu,78757,69677,8142,938
3,Chennai,328520,292511,31308,4701
4,Coimbatore,77280,69638,6922,720
5,Cuddalore,29845,27942,1578,325
6,Dharmapuri,9250,8066,1119,65
7,Dindigul,15505,13655,1642,208
8,Erode,20729,17603,2966,160
9,Kallakurichi,12495,11560,826,109
10,Kancheepuram,37578,34142,2904,532
11,Kanniyakumari,21445,19381,1762,302
12,Karur,7388,6438,894,56
13,Krishnagiri,14004,10975,2902,127
14,Madurai,30117,25520,4085,512
15,Nagapattinam,13254,11449,1638,167
16,Namakkal,15645,13837,1688,120
17,Nilgiris,9792,9331,410,51
18,Perambalur,2588,2411,153,24
19,Pudukkottai,13569,12674,732,163
20,Ramanathapuram,8170,7120,907,143
21,Ranipet,20323,18225,1901,197
22,Salem,40885,36857,3518,510
23,Sivaganga,8441,7711,600,130
24,Tenkasi,11695,10002,1519,174
25,Thanjavur,25185,22762,2121,302
26,Theni,19905,18197,1496,212
27,Thoothukudi,22805,19364,3288,153
28,Tiruchirappalli,22922,19918,2792,212
29,Tirunelveli,23987,19314,4439,234
30,Tirupathur,9844,8723,982,139
31,Tiruppur,25979,22870,2871,238
32,Tiruvallur,58801,52505,5510,786
33,Tiruvannamalai,23601,21246,2054,301
34,Tiruvarur,15019,13880,1017,122
35,Vellore,26533,23683,2466,384
36,Villupuram,18551,16718,1711,122
37,Virudhunagar,19627,18035,1352,240
38,Airport Surveillance (International),1000,997,2,1
39,Airport Surveillance (Domestic),1073,1067,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1148064,1021575,112556,13933
