S.No,District,Total Positive Cases as on 15.04.2021,Discharged Cases as on 15.04.2021,Active Cases as on 15.04.2021,Death Cases as on 15.04.2021
1,Ariyalur,5015,4813,153,49
2,Chengalpattu,63790,57521,5415,854
3,Chennai,274734,248990,21391,4353
4,Coimbatore,65406,60263,4438,705
5,Cuddalore,27157,25775,1084,298
6,Dharmapuri,7372,6789,527,56
7,Dindigul,12838,11889,746,203
8,Erode,16437,15465,820,152
9,Kallakurichi,11280,10906,266,108
10,Kancheepuram,32677,30712,1492,473
11,Kanniyakumari,18450,17520,663,267
12,Karur,6057,5679,326,52
13,Krishnagiri,9649,8616,914,119
14,Madurai,23880,21688,1719,473
15,Nagapattinam,10717,9410,1153,154
16,Namakkal,12832,12187,534,111
17,Nilgiris,9065,8748,266,51
18,Perambalur,2367,2304,41,22
19,Pudukkottai,12363,11822,381,160
20,Ramanathapuram,6885,6508,239,138
21,Ranipet,17273,16437,646,190
22,Salem,35135,33418,1243,474
23,Sivaganga,7529,6997,404,128
24,Tenkasi,9340,8645,532,163
25,Thanjavur,21817,20337,1199,281
26,Theni,17719,17193,319,207
27,Thoothukudi,17739,16502,1093,144
28,Tiruchirappalli,17981,16161,1628,192
29,Tirunelveli,17607,16205,1181,221
30,Tirupathur,8244,7782,334,128
31,Tiruppur,21427,19623,1573,231
32,Tiruvallur,49671,46601,2342,728
33,Tiruvannamalai,20531,19595,648,288
34,Tiruvarur,13245,12359,769,117
35,Vellore,22624,21500,765,359
36,Villupuram,16173,15598,461,114
37,Virudhunagar,17420,16821,365,234
38,Airport Surveillance (International),996,975,20,1
39,Airport Surveillance (Domestic),1065,1057,7,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,962935,891839,58097,12999
