S.No,District,Total Positive Cases as on 05.05.2021,Discharged Cases as on 05.05.2021,Active Cases as on 05.05.2021,Death Cases as on 05.05.2021
1,Ariyalur,5894,5434,407,53
2,Chengalpattu,88192,76849,10346,997
3,Chennai,364081,326212,32917,4952
4,Coimbatore,86261,76206,9319,736
5,Cuddalore,31831,29457,2034,340
6,Dharmapuri,10478,9044,1365,69
7,Dindigul,16930,15074,1638,218
8,Erode,24016,20411,3437,168
9,Kallakurichi,13172,12347,711,114
10,Kancheepuram,40805,37141,3088,576
11,Kanniyakumari,23662,21109,2225,328
12,Karur,8737,7200,1475,62
13,Krishnagiri,16525,13768,2619,138
14,Madurai,34631,29232,4846,553
15,Nagapattinam,14844,12952,1714,178
16,Namakkal,17609,15298,2185,126
17,Nilgiris,10358,9720,587,51
18,Perambalur,2894,2563,302,29
19,Pudukkottai,14392,13343,885,164
20,Ramanathapuram,9353,7945,1262,146
21,Ranipet,22666,19909,2528,229
22,Salem,44427,39929,3927,571
23,Sivaganga,9201,8256,809,136
24,Tenkasi,12740,11479,1074,187
25,Thanjavur,27393,24759,2317,317
26,Theni,21776,19429,2124,223
27,Thoothukudi,26544,22092,4291,161
28,Tiruchirappalli,26156,22335,3586,235
29,Tirunelveli,27806,23468,4088,250
30,Tirupathur,10716,9625,933,158
31,Tiruppur,28861,25520,3095,246
32,Tiruvallur,65110,57633,6641,836
33,Tiruvannamalai,24851,23249,1291,311
34,Tiruvarur,16145,14713,1305,127
35,Vellore,29109,25938,2756,415
36,Villupuram,20688,18077,2481,130
37,Virudhunagar,21243,19299,1697,247
38,Airport Surveillance (International),1003,997,5,1
39,Airport Surveillance (Domestic),1074,1072,1,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1272602,1129512,128311,14779
