S.No,District,Total Positive Cases as on 30.04.2021,Discharged Cases as on 30.04.2021,Active Cases as on 30.04.2021,Death Cases as on 30.04.2021
1,Ariyalur,5606,5191,362,53
2,Chengalpattu,80038,71008,8087,943
3,Chennai,333804,297838,31222,4744
4,Coimbatore,78410,70745,6943,722
5,Cuddalore,30147,28170,1650,327
6,Dharmapuri,9492,8204,1223,65
7,Dindigul,15800,13927,1663,210
8,Erode,21239,17880,3198,161
9,Kallakurichi,12571,11607,854,110
10,Kancheepuram,38065,34522,3008,535
11,Kanniyakumari,21615,19657,1656,302
12,Karur,7565,6522,986,57
13,Krishnagiri,14517,11244,3145,128
14,Madurai,30819,26095,4207,517
15,Nagapattinam,13418,11610,1640,168
16,Namakkal,15981,14065,1794,122
17,Nilgiris,9847,9378,418,51
18,Perambalur,2627,2425,178,24
19,Pudukkottai,13718,12744,811,163
20,Ramanathapuram,8417,7206,1065,146
21,Ranipet,20671,18407,2055,209
22,Salem,41439,37416,3503,520
23,Sivaganga,8567,7750,685,132
24,Tenkasi,11831,10232,1424,175
25,Thanjavur,25536,23063,2168,305
26,Theni,20203,18384,1606,213
27,Thoothukudi,23406,19706,3547,153
28,Tiruchirappalli,23366,20340,2815,211
29,Tirunelveli,24597,19736,4627,234
30,Tirupathur,10041,8890,1010,141
31,Tiruppur,26409,23138,3032,239
32,Tiruvallur,59702,53345,5564,793
33,Tiruvannamalai,23819,21523,1994,302
34,Tiruvarur,15186,14032,1032,122
35,Vellore,26917,24022,2512,383
36,Villupuram,18935,16923,1889,123
37,Virudhunagar,19934,18145,1548,241
38,Airport Surveillance (International),1000,997,2,1
39,Airport Surveillance (Domestic),1073,1067,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1166756,1037582,115128,14046
