S. No,District,Total Positive Cases as on 06.04.2021,Discharged Cases as on 06.04.2021,Active Cases as on 06.04.2021,Death Cases as on 06.04.2021
1,Ariyalur,4855,4765,41,49
2,Chengalpattu,58226,54912,2481,833
3,Chennai,256359,242324,9755,4280
4,Coimbatore,60821,57549,2577,695
5,Cuddalore,26077,25344,441,292
6,Dharmapuri,6864,6698,111,55
7,Dindigul,12126,11659,265,202
8,Erode,15575,15172,253,150
9,Kallakurichi,11026,10841,77,108
10,Kancheepuram,31234,30157,613,464
11,Kanniyakumari,17758,17205,288,265
12,Karur,5735,5584,99,52
13,Krishnagiri,8720,8311,290,119
14,Madurai,22290,21173,649,468
15,Nagapattinam,9562,8877,541,144
16,Namakkal,12286,11956,219,111
17,Nilgiris,8791,8584,157,50
18,Perambalur,2323,2286,16,21
19,Pudukkottai,12005,11688,157,160
20,Ramanathapuram,6634,6402,94,138
21,Ranipet,16623,16174,259,190
22,Salem,33864,33014,382,468
23,Sivaganga,7126,6834,165,127
24,Tenkasi,8843,8503,179,161
25,Thanjavur,20494,19395,824,275
26,Theni,17397,17080,110,207
27,Thoothukudi,16678,16367,168,143
28,Tiruchirappalli,16347,15330,831,186
29,Tirunelveli,16436,15793,427,216
30,Tirupathur,7914,7670,116,128
31,Tiruppur,19860,18982,651,227
32,Tiruvallur,47087,45327,1044,716
33,Tiruvannamalai,19883,19408,188,287
34,Tiruvarur,12419,11808,496,115
35,Vellore,21772,21094,323,355
36,Villupuram,15668,15356,199,113
37,Virudhunagar,16980,16660,88,232
38,Airport Surveillance (International),980,966,13,1
39,Airport Surveillance (Domestic),1058,1046,11,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,907124,868722,25598,12804
