S.No,District,Total Positive Cases as on 24.04.2021,Discharged Cases as on 24.04.2021,Active Cases as on 24.04.2021,Death Cases as on 24.04.2021
1,Ariyalur,5311,4989,271,51
2,Chengalpattu,72706,63096,8708,902
3,Chennai,305570,269526,31506,4538
4,Coimbatore,72174,65024,6437,713
5,Cuddalore,28721,26914,1493,314
6,Dharmapuri,8462,7404,995,63
7,Dindigul,14430,12748,1474,208
8,Erode,18587,16314,2120,153
9,Kallakurichi,11841,11197,536,108
10,Kancheepuram,35500,32363,2639,498
11,Kanniyakumari,20105,18330,1486,289
12,Karur,6797,6001,743,53
13,Krishnagiri,11990,9548,2319,123
14,Madurai,27332,23416,3425,491
15,Nagapattinam,11987,10580,1242,165
16,Namakkal,14379,12846,1420,113
17,Nilgiris,9525,9029,445,51
18,Perambalur,2468,2359,86,23
19,Pudukkottai,13051,12208,683,160
20,Ramanathapuram,7476,6771,565,140
21,Ranipet,18893,17117,1584,192
22,Salem,38474,34806,3179,489
23,Sivaganga,8019,7401,488,130
24,Tenkasi,10651,9221,1259,171
25,Thanjavur,23765,21713,1762,290
26,Theni,18817,17540,1066,211
27,Thoothukudi,20444,17664,2633,147
28,Tiruchirappalli,20823,17792,2829,202
29,Tirunelveli,20750,17424,3097,229
30,Tirupathur,9145,8128,883,134
31,Tiruppur,23798,21271,2293,234
32,Tiruvallur,54790,49474,4562,754
33,Tiruvannamalai,22149,20382,1474,293
34,Tiruvarur,14305,13260,928,117
35,Vellore,24755,22427,1957,371
36,Villupuram,17277,16119,1042,116
37,Virudhunagar,18565,17299,1029,237
38,Airport Surveillance (International),1000,993,6,1
39,Airport Surveillance (Domestic),1069,1064,4,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1066329,952186,100668,13475
