S.No,District,Total Positive Cases as on 22.04.2021,Discharged Cases as on 22.04.2021,Active Cases as on 22.04.2021,Death Cases as on 22.04.2021
1,Ariyalur,5232,4943,238,51
2,Chengalpattu,70437,61602,7950,885
3,Chennai,297814,262939,30401,4474
4,Coimbatore,70262,64202,5350,710
5,Cuddalore,28308,26546,1450,312
6,Dharmapuri,8154,7236,857,61
7,Dindigul,13928,12537,1185,206
8,Erode,17874,16033,1689,152
9,Kallakurichi,11693,11097,488,108
10,Kancheepuram,34694,32081,2121,492
11,Kanniyakumari,19674,18061,1331,282
12,Karur,6573,5897,624,52
13,Krishnagiri,11297,9254,1921,122
14,Madurai,26225,22960,2778,487
15,Nagapattinam,11690,10249,1278,163
16,Namakkal,13961,12638,1211,112
17,Nilgiris,9387,8949,387,51
18,Perambalur,2440,2343,74,23
19,Pudukkottai,12851,12092,599,160
20,Ramanathapuram,7274,6668,468,138
21,Ranipet,18414,16986,1238,190
22,Salem,37489,34472,2532,485
23,Sivaganga,7866,7309,428,129
24,Tenkasi,10300,8931,1202,167
25,Thanjavur,23121,21561,1272,288
26,Theni,18494,17445,840,209
27,Thoothukudi,19633,17237,2250,146
28,Tiruchirappalli,20217,17334,2684,199
29,Tirunelveli,19779,17013,2539,227
30,Tirupathur,8891,7999,762,130
31,Tiruppur,23191,20771,2186,234
32,Tiruvallur,53158,48522,3892,744
33,Tiruvannamalai,21576,20236,1048,292
34,Tiruvarur,14020,13009,894,117
35,Vellore,24151,22268,1517,366
36,Villupuram,16907,16000,793,114
37,Virudhunagar,18240,17070,933,237
38,Airport Surveillance (International),1000,990,9,1
39,Airport Surveillance (Domestic),1068,1058,9,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1037711,934966,89428,13317
