S.No,District,Total Positive Cases as on 19.04.2021,Discharged Cases as on 19.04.2021,Active Cases as on 19.04.2021,Death Cases as on 19.04.2021
1,Ariyalur,5125,4883,193,49
2,Chengalpattu,67480,59421,7187,872
3,Chennai,286569,255960,26194,4415
4,Coimbatore,68137,62726,4703,708
5,Cuddalore,27828,26099,1424,305
6,Dharmapuri,7810,7007,746,57
7,Dindigul,13408,12260,944,204
8,Erode,17163,15785,1226,152
9,Kallakurichi,11554,10999,447,108
10,Kancheepuram,33800,31279,2038,483
11,Kanniyakumari,19078,17872,932,274
12,Karur,6327,5774,501,52
13,Krishnagiri,10537,8917,1500,120
14,Madurai,24891,22179,2233,479
15,Nagapattinam,11281,9869,1254,158
16,Namakkal,13344,12429,804,111
17,Nilgiris,9233,8863,319,51
18,Perambalur,2409,2335,52,22
19,Pudukkottai,12618,11936,522,160
20,Ramanathapuram,7084,6587,359,138
21,Ranipet,17928,16715,1023,190
22,Salem,36283,34058,1744,481
23,Sivaganga,7719,7145,445,129
24,Tenkasi,9799,8806,828,165
25,Thanjavur,22480,21232,963,285
26,Theni,18033,17323,502,208
27,Thoothukudi,18823,16725,1953,145
28,Tiruchirappalli,19202,16793,2212,197
29,Tirunelveli,18650,16550,1876,224
30,Tirupathur,8563,7897,537,129
31,Tiruppur,22516,20103,2182,231
32,Tiruvallur,51603,47835,3033,735
33,Tiruvannamalai,21121,19824,1007,290
34,Tiruvarur,13692,12705,870,117
35,Vellore,23356,21941,1054,361
36,Villupuram,16591,15821,656,114
37,Virudhunagar,17863,17002,625,236
38,Airport Surveillance (International),999,979,19,1
39,Airport Surveillance (Domestic),1067,1057,9,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1002392,914119,75116,13157
