S.No,District,Total Positive Cases as on 16.04.2021,Discharged Cases as on 16.04.2021,Active Cases as on 16.04.2021,Death Cases as on 16.04.2021
1,Ariyalur,5036,4824,163,49
2,Chengalpattu,64617,57911,5850,856
3,Chennai,277300,250516,22420,4364
4,Coimbatore,65993,60885,4402,706
5,Cuddalore,27254,25895,1060,299
6,Dharmapuri,7460,6814,589,57
7,Dindigul,12931,11952,776,203
8,Erode,16572,15528,892,152
9,Kallakurichi,11337,10920,309,108
10,Kancheepuram,32990,30849,1666,475
11,Kanniyakumari,18576,17579,729,268
12,Karur,6091,5697,342,52
13,Krishnagiri,9820,8662,1038,120
14,Madurai,24051,21804,1773,474
15,Nagapattinam,10847,9502,1189,156
16,Namakkal,12941,12236,594,111
17,Nilgiris,9113,8776,286,51
18,Perambalur,2384,2309,53,22
19,Pudukkottai,12410,11845,405,160
20,Ramanathapuram,6913,6520,255,138
21,Ranipet,17449,16481,778,190
22,Salem,35350,33559,1314,477
23,Sivaganga,7570,7029,412,129
24,Tenkasi,9412,8706,543,163
25,Thanjavur,21971,20606,1084,281
26,Theni,17771,17213,350,208
27,Thoothukudi,18021,16523,1354,144
28,Tiruchirappalli,18263,16253,1818,192
29,Tirunelveli,17822,16317,1284,221
30,Tirupathur,8315,7806,381,128
31,Tiruppur,21647,19721,1695,231
32,Tiruvallur,50123,46894,2498,731
33,Tiruvannamalai,20661,19643,730,288
34,Tiruvarur,13365,12430,818,117
35,Vellore,22786,21642,784,360
36,Villupuram,16229,15617,498,114
37,Virudhunagar,17503,16835,433,235
38,Airport Surveillance (International),997,975,21,1
39,Airport Surveillance (Domestic),1065,1057,7,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,971384,896759,61593,13032
