S.No,District,Total Positive Cases as on 14.03.2021,Discharged Cases as on 14.03.2021,Active Cases as on 14.03.2021,Death Cases as on 14.03.2021
1,Ariyalur,4755,4699,7,49
2,Chengalpattu,53585,52394,397,794
3,Chennai,238820,232663,1979,4178
4,Coimbatore,56468,55387,396,685
5,Cuddalore,25277,24931,58,288
6,Dharmapuri,6673,6607,11,55
7,Dindigul,11594,11329,65,200
8,Erode,14977,14713,114,150
9,Kallakurichi,10915,10803,4,108
10,Kancheepuram,29738,29143,146,449
11,Kanniyakumari,17206,16867,78,261
12,Karur,5533,5465,17,51
13,Krishnagiri,8221,8071,32,118
14,Madurai,21360,20829,70,461
15,Nagapattinam,8699,8501,63,135
16,Namakkal,11877,11720,46,111
17,Nilgiris,8441,8335,57,49
18,Perambalur,2294,2264,9,21
19,Pudukkottai,11706,11524,25,157
20,Ramanathapuram,6495,6347,11,137
21,Ranipet,16274,16066,19,189
22,Salem,32901,32342,92,467
23,Sivaganga,6833,6676,31,126
24,Tenkasi,8584,8410,14,160
25,Thanjavur,18388,17955,177,256
26,Theni,17199,16970,22,207
27,Thoothukudi,16392,16228,21,143
28,Tiruchirappalli,15133,14846,104,183
29,Tirunelveli,15813,15547,52,214
30,Tirupathur,7662,7518,17,127
31,Tiruppur,18652,18244,184,224
32,Tiruvallur,44645,43660,284,701
33,Tiruvannamalai,19549,19240,25,284
34,Tiruvarur,11467,11277,79,111
35,Vellore,21137,20694,92,351
36,Villupuram,15306,15168,25,113
37,Virudhunagar,16724,16452,40,232
38,Airport Surveillance (International),961,953,7,1
39,Airport Surveillance (Domestic),1044,1043,0,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,859726,842309,4870,12547
