S.No,District,Total Positive Cases as on 21.04.2021,Discharged Cases as on 21.04.2021,Active Cases as on 21.04.2021,Death Cases as on 21.04.2021
1,Ariyalur,5184,4923,210,51
2,Chengalpattu,69464,60789,7795,880
3,Chennai,294073,260367,29256,4450
4,Coimbatore,69563,63742,5112,709
5,Cuddalore,28138,26469,1358,311
6,Dharmapuri,8071,7147,866,58
7,Dindigul,13721,12409,1107,205
8,Erode,17651,15947,1552,152
9,Kallakurichi,11615,11062,445,108
10,Kancheepuram,34330,31753,2085,492
11,Kanniyakumari,19454,17995,1179,280
12,Karur,6485,5858,575,52
13,Krishnagiri,10978,9165,1692,121
14,Madurai,25723,22694,2547,482
15,Nagapattinam,11492,10152,1179,161
16,Namakkal,13737,12561,1064,112
17,Nilgiris,9339,8928,360,51
18,Perambalur,2423,2340,61,22
19,Pudukkottai,12771,12049,562,160
20,Ramanathapuram,7187,6636,413,138
21,Ranipet,18239,16871,1178,190
22,Salem,37072,34312,2276,484
23,Sivaganga,7821,7270,422,129
24,Tenkasi,10021,8857,998,166
25,Thanjavur,22839,21494,1058,287
26,Theni,18344,17410,725,209
27,Thoothukudi,19274,17039,2090,145
28,Tiruchirappalli,19852,17141,2512,199
29,Tirunelveli,19327,16814,2287,226
30,Tirupathur,8749,7962,658,129
31,Tiruppur,22973,20506,2234,233
32,Tiruvallur,52643,48170,3733,740
33,Tiruvannamalai,21367,20114,962,291
34,Tiruvarur,13916,12904,895,117
35,Vellore,23860,22152,1343,365
36,Villupuram,16753,15914,725,114
37,Virudhunagar,18114,17048,829,237
38,Airport Surveillance (International),1000,990,9,1
39,Airport Surveillance (Domestic),1068,1058,9,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1025059,927440,84361,13258
