S.No,District,Total Positive Cases as on 04.04.2021,Discharged Cases as on 04.04.2021,Active Cases as on 04.04.2021,Death Cases as on 04.04.2021
1,Ariyalur,4845,4753,43,49
2,Chengalpattu,57509,54499,2183,827
3,Chennai,253760,241246,8246,4268
4,Coimbatore,60153,57266,2193,694
5,Cuddalore,25959,25268,399,292
6,Dharmapuri,6818,6689,74,55
7,Dindigul,12016,11613,201,202
8,Erode,15501,15102,249,150
9,Kallakurichi,10991,10839,44,108
10,Kancheepuram,31058,29993,601,464
11,Kanniyakumari,17677,17166,246,265
12,Karur,5707,5568,87,52
13,Krishnagiri,8637,8268,250,119
14,Madurai,22086,21141,478,467
15,Nagapattinam,9414,8806,465,143
16,Namakkal,12211,11913,187,111
17,Nilgiris,8742,8544,148,50
18,Perambalur,2321,2281,19,21
19,Pudukkottai,11959,11661,138,160
20,Ramanathapuram,6594,6395,61,138
21,Ranipet,16563,16174,199,190
22,Salem,33722,32884,370,468
23,Sivaganga,7086,6809,150,127
24,Tenkasi,8802,8494,147,161
25,Thanjavur,20244,19170,801,273
26,Theni,17353,17063,83,207
27,Thoothukudi,16628,16340,145,143
28,Tiruchirappalli,16094,15227,681,186
29,Tirunelveli,16311,15735,360,216
30,Tirupathur,7879,7640,111,128
31,Tiruppur,19653,18893,533,227
32,Tiruvallur,46768,45119,934,715
33,Tiruvannamalai,19801,19379,136,286
34,Tiruvarur,12289,11698,476,115
35,Vellore,21644,21041,249,354
36,Villupuram,15609,15324,172,113
37,Virudhunagar,16941,16630,79,232
38,Airport Surveillance (International),976,966,9,1
39,Airport Surveillance (Domestic),1058,1046,11,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,899807,865071,21958,12778
