S.No,District,Total Positive Cases as on 07.05.2021,Discharged Cases as on 07.05.2021,Active Cases as on 07.05.2021,Death Cases as on 07.05.2021
1,Ariyalur,6095,5576,466,53
2,Chengalpattu,92476,79320,12134,1022
3,Chennai,377042,338893,33068,5081
4,Coimbatore,90454,79248,10460,746
5,Cuddalore,32662,30107,2207,348
6,Dharmapuri,10943,9488,1384,71
7,Dindigul,17547,15608,1715,224
8,Erode,25240,21454,3615,171
9,Kallakurichi,13547,12602,829,116
10,Kancheepuram,42519,38017,3904,598
11,Kanniyakumari,24547,21672,2527,348
12,Karur,9219,7517,1635,67
13,Krishnagiri,17434,14843,2451,140
14,Madurai,36716,30741,5403,572
15,Nagapattinam,15556,13526,1847,183
16,Namakkal,18299,15968,2199,132
17,Nilgiris,10633,9849,733,51
18,Perambalur,3057,2656,371,30
19,Pudukkottai,14751,13584,1000,167
20,Ramanathapuram,9768,8294,1328,146
21,Ranipet,23405,20746,2419,240
22,Salem,45709,41354,3771,584
23,Sivaganga,9441,8485,820,136
24,Tenkasi,13340,11863,1281,196
25,Thanjavur,27890,25521,2044,325
26,Theni,22713,20055,2428,230
27,Thoothukudi,28200,23651,4388,161
28,Tiruchirappalli,27740,23484,4010,246
29,Tirunelveli,29181,25426,3495,260
30,Tirupathur,11158,9980,1015,163
31,Tiruppur,29865,26794,2822,249
32,Tiruvallur,68121,60084,7174,863
33,Tiruvannamalai,25603,23782,1504,317
34,Tiruvarur,16750,15123,1498,129
35,Vellore,30333,26926,2990,417
36,Villupuram,21703,18822,2747,134
37,Virudhunagar,21801,19883,1665,253
38,Airport Surveillance (International),1004,997,6,1
39,Airport Surveillance (Domestic),1075,1072,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1323965,1173439,135355,15171
