S.No,District,Total Positive Cases as on 12.05.2021,Discharged Cases as on 12.05.2021,Active Cases as on 12.05.2021,Death Cases as on 12.05.2021
1,Ariyalur,6718,5958,706,54
2,Chengalpattu,104812,90403,13290,1119
3,Chennai,412505,366434,40613,5458
4,Coimbatore,103184,87195,15178,811
5,Cuddalore,35167,31812,2978,377
6,Dharmapuri,12284,10530,1679,75
7,Dindigul,19230,16908,2077,245
8,Erode,29346,24352,4815,179
9,Kallakurichi,14681,13177,1386,118
10,Kancheepuram,46410,41062,4682,666
11,Kanniyakumari,28406,23871,4143,392
12,Karur,10445,8883,1482,80
13,Krishnagiri,20235,16355,3728,152
14,Madurai,42237,34534,7076,627
15,Nagapattinam,17279,15025,2046,208
16,Namakkal,19923,17662,2116,145
17,Nilgiris,11475,10434,983,58
18,Perambalur,3895,2858,1005,32
19,Pudukkottai,15902,14406,1325,171
20,Ramanathapuram,10933,9265,1521,147
21,Ranipet,25190,22836,2099,255
22,Salem,48596,44139,3825,632
23,Sivaganga,10315,9125,1051,139
24,Tenkasi,14734,12680,1836,218
25,Thanjavur,31599,27299,3939,361
26,Theni,25037,21740,3049,248
27,Thoothukudi,32140,27016,4951,173
28,Tiruchirappalli,31973,26240,5435,298
29,Tirunelveli,32879,27656,4946,277
30,Tirupathur,13091,10811,2078,202
31,Tiruppur,33180,28602,4314,264
32,Tiruvallur,74660,65904,7814,942
33,Tiruvannamalai,28603,24942,3325,336
34,Tiruvarur,18309,16306,1863,140
35,Vellore,33044,28657,3933,454
36,Villupuram,23819,21070,2602,147
37,Virudhunagar,24121,21012,2840,269
38,Airport Surveillance (International),1004,998,5,1
39,Airport Surveillance (Domestic),1075,1073,1,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1468864,1279658,172735,16471
