S.No,District,Total Positive Cases as on 28.04.2021,Discharged Cases as on 28.04.2021,Active Cases as on 28.04.2021,Death Cases as on 28.04.2021
1,Ariyalur,5485,5105,328,52
2,Chengalpattu,77483,68182,8370,931
3,Chennai,323452,287496,31295,4661
4,Coimbatore,76259,68619,6921,719
5,Cuddalore,29586,27806,1459,321
6,Dharmapuri,9095,7965,1066,64
7,Dindigul,15254,13434,1612,208
8,Erode,20253,17295,2799,159
9,Kallakurichi,12275,11512,654,109
10,Kancheepuram,37218,33786,2911,521
11,Kanniyakumari,21237,19108,1832,297
12,Karur,7249,6353,840,56
13,Krishnagiri,13629,10707,2795,127
14,Madurai,29494,24952,4038,504
15,Nagapattinam,12989,11297,1525,167
16,Namakkal,15354,13541,1695,118
17,Nilgiris,9743,9261,431,51
18,Perambalur,2558,2401,133,24
19,Pudukkottai,13461,12580,719,162
20,Ramanathapuram,7960,7037,780,143
21,Ranipet,19984,18011,1776,197
22,Salem,40365,36327,3533,505
23,Sivaganga,8340,7647,563,130
24,Tenkasi,11464,9795,1495,174
25,Thanjavur,24864,22478,2087,299
26,Theni,19623,18002,1409,212
27,Thoothukudi,22228,18997,3079,152
28,Tiruchirappalli,22511,19463,2837,211
29,Tirunelveli,23130,18832,4065,233
30,Tirupathur,9666,8562,965,139
31,Tiruppur,25612,22687,2689,236
32,Tiruvallur,57908,51735,5394,779
33,Tiruvannamalai,23371,21029,2042,300
34,Tiruvarur,14822,13737,965,120
35,Vellore,26169,23346,2441,382
36,Villupuram,18182,16586,1475,121
37,Virudhunagar,19393,17870,1283,240
38,Airport Surveillance (International),1000,997,2,1
39,Airport Surveillance (Domestic),1073,1067,5,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1130167,1006033,110308,13826
