S.No,District,Total Positive Cases as on 09.05.2021,Discharged Cases as on 09.05.2021,Active Cases as on 09.05.2021,Death Cases as on 09.05.2021
1,Ariyalur,6316,5752,510,54
2,Chengalpattu,97395,82419,13924,1052
3,Chennai,390589,352517,32863,5209
4,Coimbatore,95099,82609,11731,759
5,Cuddalore,33670,30906,2404,360
6,Dharmapuri,11599,10044,1481,74
7,Dindigul,18257,16236,1786,235
8,Erode,26701,22562,3966,173
9,Kallakurichi,13952,12786,1048,118
10,Kancheepuram,44487,39000,4856,631
11,Kanniyakumari,25612,22325,2929,358
12,Karur,9792,7943,1778,71
13,Krishnagiri,18353,15859,2347,147
14,Madurai,39018,32409,6016,593
15,Nagapattinam,16166,13856,2120,190
16,Namakkal,18811,16741,1934,136
17,Nilgiris,10933,10019,861,53
18,Perambalur,3334,2747,557,30
19,Pudukkottai,15214,13895,1151,168
20,Ramanathapuram,10157,8722,1288,147
21,Ranipet,24140,21647,2246,247
22,Salem,46911,42890,3423,598
23,Sivaganga,9707,8806,765,136
24,Tenkasi,13847,12275,1366,206
25,Thanjavur,29652,26372,2941,339
26,Theni,23692,20809,2650,233
27,Thoothukudi,29949,25429,4353,167
28,Tiruchirappalli,29395,24742,4385,268
29,Tirunelveli,30547,26557,3721,269
30,Tirupathur,11769,10358,1228,183
31,Tiruppur,31177,27706,3218,253
32,Tiruvallur,71168,62523,7749,896
33,Tiruvannamalai,26547,24200,2025,322
34,Tiruvarur,17401,15642,1626,133
35,Vellore,31502,28031,3034,437
36,Villupuram,22424,19672,2611,141
37,Virudhunagar,22469,20560,1649,260
38,Airport Surveillance (International),1004,998,5,1
39,Airport Surveillance (Domestic),1075,1072,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1380259,1220064,144547,15648
