S.No,District,Total Positive Cases as on 08.05.2021,Discharged Cases as on 08.05.2021,Active Cases as on 08.05.2021,Death Cases as on 08.05.2021
1,Ariyalur,6202,5666,483,53
2,Chengalpattu,94964,80790,13142,1032
3,Chennai,383644,345633,32858,5153
4,Coimbatore,92579,80904,10925,750
5,Cuddalore,33186,30491,2338,357
6,Dharmapuri,11246,9765,1407,74
7,Dindigul,17908,15932,1746,230
8,Erode,26016,22005,3839,172
9,Kallakurichi,13668,12688,862,118
10,Kancheepuram,43439,38512,4315,612
11,Kanniyakumari,25091,21994,2740,357
12,Karur,9503,7719,1713,71
13,Krishnagiri,17863,15349,2370,144
14,Madurai,37940,31566,5795,579
15,Nagapattinam,15949,13686,2078,185
16,Namakkal,18591,16353,2106,132
17,Nilgiris,10781,9934,796,51
18,Perambalur,3193,2711,452,30
19,Pudukkottai,14971,13729,1074,168
20,Ramanathapuram,10019,8505,1368,146
21,Ranipet,23736,21183,2312,241
22,Salem,46265,42128,3543,594
23,Sivaganga,9580,8645,799,136
24,Tenkasi,13460,12077,1182,201
25,Thanjavur,28750,25944,2474,332
26,Theni,23239,20431,2576,232
27,Thoothukudi,29058,24538,4354,166
28,Tiruchirappalli,28573,24117,4198,258
29,Tirunelveli,29865,26002,3600,263
30,Tirupathur,11480,10176,1130,174
31,Tiruppur,30529,27245,3032,252
32,Tiruvallur,69476,61312,7284,880
33,Tiruvannamalai,25958,23984,1656,318
34,Tiruvarur,17095,15371,1594,130
35,Vellore,30910,27491,2997,422
36,Villupuram,22031,19245,2647,139
37,Virudhunagar,22097,20231,1608,258
38,Airport Surveillance (International),1004,997,6,1
39,Airport Surveillance (Domestic),1075,1072,2,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,1351362,1196549,139401,15412
